slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
alcorga01,Gary Alcorn,CENTER,23,DETROIT PISTONS,58,0,670,91,312,0,0,48,84,0,0,22,0,0,0,123,230
anderbo01,Bob Anderegg,SMALL FORWARD,22,NEW YORK KNICKS,33,0,373,55,143,0,0,23,42,0,0,29,0,0,0,32,133
arizipa01,Paul Arizin,SMALL FORWARD,31,,72,0,2618,593,1400,0,0,420,526,0,0,165,0,0,0,263,1606
barnedi01,Dick Barnett,SHOOTING GUARD,23,,57,0,1235,289,701,0,0,128,180,0,0,160,0,0,0,98,706
bayloel01,Elgin Baylor,SMALL FORWARD,25,,70,0,2873,755,1781,0,0,564,770,0,0,243,0,0,0,234,2074
becker01,Ernie Beck,SHOOTING GUARD,28,,66,0,809,114,294,0,0,27,32,0,0,72,0,0,0,90,255
bellwh01,Whitey Bell,POINT GUARD,27,NEW YORK KNICKS,31,0,449,70,185,0,0,28,43,0,0,55,0,0,0,59,168
biancal01,Al Bianchi,POINT GUARD,27,,69,0,1256,211,576,0,0,109,155,0,0,169,0,0,0,231,531
bockhbu01,Bucky Bockhorn,SHOOTING GUARD,26,,75,0,2103,323,812,0,0,145,194,0,0,256,0,0,0,249,791
braunca01,Carl Braun,POINT GUARD,32,NEW YORK KNICKS,54,0,1514,285,659,0,0,129,154,0,0,270,0,0,0,127,699
cableba01,Barney Cable,FORWARD,24,DETROIT PISTONS,7,0,116,22,60,0,0,4,10,0,0,6,0,0,0,19,48
cableba01,Barney Cable,SMALL FORWARD,24,,50,0,599,87,230,0,0,40,57,0,0,33,0,0,0,74,214
chambwi01,Wilt Chamberlain,CENTER,23,,72,0,3338,1065,2311,0,0,577,991,0,0,168,0,0,0,150,2707
conlege01,Gene Conley,POWER FORWARD,29,BOSTON CELTICS,71,0,1330,201,539,0,0,76,114,0,0,32,0,0,0,270,478
conlied01,Ed Conlin,SHOOTING GUARD,26,DETROIT PISTONS,70,0,1636,300,831,0,0,181,238,0,0,126,0,0,0,158,781
costela01,Larry Costello,POINT GUARD,28,,71,0,2469,372,822,0,0,249,289,0,0,449,0,0,0,234,993
cousybo01,Bob Cousy,POINT GUARD,31,BOSTON CELTICS,75,0,2588,568,1481,0,0,319,403,0,0,715,0,0,0,146,1455
deesar01,Archie Dees,POWER FORWARD,23,DETROIT PISTONS,73,0,1244,271,617,0,0,165,204,0,0,43,0,0,0,188,707
dierkco01,Connie Dierking,CENTER,23,,71,0,1119,192,526,0,0,108,188,0,0,54,0,0,0,168,492
dukeswa01,Walter Dukes,CENTER,29,DETROIT PISTONS,66,0,2140,314,871,0,0,376,508,0,0,80,0,0,0,310,1004
ellisbo01,Boo Ellis,POWER FORWARD,23,,46,0,671,64,185,0,0,51,76,0,0,27,0,0,0,64,179
embrywa01,Wayne Embry,CENTER,22,,73,0,1594,303,690,0,0,167,325,0,0,83,0,0,0,226,773
farmemi01,Mike Farmer,SMALL FORWARD,23,NEW YORK KNICKS,67,0,1536,212,568,0,0,70,83,0,0,57,0,0,0,130,494
felixra01,Ray Felix,CENTER,29,NEW YORK KNICKS,16,0,186,31,94,0,0,19,33,0,0,2,0,0,0,44,81
felixra01,Ray Felix,CENTER,29,,31,0,696,105,261,0,0,51,79,0,0,29,0,0,0,133,261
ferraal01,Al Ferrari,SHOOTING GUARD,26,,71,0,1567,216,523,0,0,176,225,0,0,188,0,0,0,205,608
ferrybo01,Bob Ferry,CENTER,22,,62,0,875,144,338,0,0,76,119,0,0,40,0,0,0,132,364
flemied01,Ed Fleming,SHOOTING GUARD,26,,27,0,413,59,141,0,0,53,69,0,0,38,0,0,0,46,171
foustla01,Larry Foust,CENTER,31,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foustla01,Larry Foust,CENTER,31,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gambeda01,Dave Gambee,SMALL FORWARD,22,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gambeda01,Dave Gambee,SMALL FORWARD,22,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garmadi01,Dick Garmaker,GUARD-FORWARD,27,,44,0,1187,198,525,0,0,117,163,0,0,133,0,0,0,126,513
garmadi01,Dick Garmaker,SHOOTING GUARD,27,NEW YORK KNICKS,26,0,745,125,290,0,0,86,100,0,0,73,0,0,0,60,336
georgja01,Jack George,POINT GUARD,31,NEW YORK KNICKS,69,0,1604,250,650,0,0,155,202,0,0,240,0,0,0,148,655
golato01,Tom Gola,SHOOTING GUARD,27,,75,0,2870,426,983,0,0,270,340,0,0,409,0,0,0,311,1122
grabojo01,Joe Graboski,POWER FORWARD,30,,73,0,1269,217,583,0,0,131,174,0,0,111,0,0,0,147,565
greenjo01,Johnny Green,POWER FORWARD,26,NEW YORK KNICKS,69,0,1232,209,468,0,0,63,155,0,0,52,0,0,0,195,481
greensi01,Si Green,POINT GUARD,26,,70,0,1354,159,427,0,0,111,175,0,0,133,0,0,0,150,429
greerha01,Hal Greer,SHOOTING GUARD,23,,70,0,1979,388,815,0,0,148,189,0,0,188,0,0,0,208,924
guarige01,Gene Guarilia,SMALL FORWARD,22,BOSTON CELTICS,48,0,423,58,154,0,0,29,41,0,0,18,0,0,0,57,145
gueriri01,Richie Guerin,SHOOTING GUARD,27,NEW YORK KNICKS,74,0,2429,579,1379,0,0,457,591,0,0,468,0,0,0,242,1615
hagancl01,Cliff Hagan,SMALL FORWARD,28,,75,0,2798,719,1549,0,0,421,524,0,0,299,0,0,0,270,1859
hamilst01,Steve Hamilton,SMALL FORWARD,25,,15,0,247,29,77,0,0,18,23,0,0,7,0,0,0,39,76
hattove01,Vern Hatton,SHOOTING GUARD,24,,67,0,1049,127,356,0,0,53,87,0,0,82,0,0,0,61,307
hawkito01,Tom Hawkins,SMALL FORWARD,23,,69,0,1467,220,579,0,0,106,164,0,0,54,0,0,0,188,546
heinsto01,Tom Heinsohn,POWER FORWARD,25,BOSTON CELTICS,75,0,2420,673,1590,0,0,283,386,0,0,171,0,0,0,275,1629
hopkibo01,Bob Hopkins,POWER FORWARD,25,,75,0,1616,257,660,0,0,136,174,0,0,55,0,0,0,193,650
howelba01,Bailey Howell,POWER FORWARD,23,DETROIT PISTONS,75,0,2346,510,1119,0,0,312,422,0,0,63,0,0,0,282,1332
hundlho01,Hot Rod Hundley,SHOOTING GUARD,25,,73,0,2279,365,1019,0,0,203,273,0,0,338,0,0,0,194,933
johnsan01,Andy Johnson,SMALL FORWARD,27,,75,0,1421,245,648,0,0,125,208,0,0,152,0,0,0,196,615
joneskc01,K.C. Jones,POINT GUARD,27,BOSTON CELTICS,74,0,1274,169,414,0,0,128,170,0,0,189,0,0,0,109,466
jonessa01,Sam Jones,SMALL FORWARD,26,BOSTON CELTICS,74,0,1512,355,782,0,0,168,220,0,0,125,0,0,0,101,878
jordoph01,Phil Jordon,CENTER,26,,75,0,2066,381,970,0,0,242,338,0,0,207,0,0,0,227,1004
kenvibi01,Billy Kenville,SHOOTING GUARD,29,DETROIT PISTONS,25,0,365,47,131,0,0,33,41,0,0,46,0,0,0,31,127
kerrre01,Red Kerr,CENTER,27,,75,0,2372,436,1111,0,0,233,310,0,0,167,0,0,0,207,1105
kingma01,Maurice King,POINT GUARD,24,BOSTON CELTICS,1,0,19,5,8,0,0,0,1,0,0,2,0,0,0,3,10
krebsji01,Jim Krebs,CENTER,24,,75,0,1269,237,605,0,0,98,136,0,0,38,0,0,0,210,572
larusru01,Rudy LaRusso,POWER FORWARD,22,,71,0,2092,355,913,0,0,265,357,0,0,83,0,0,0,222,975
leonasl01,Slick Leonard,POINT GUARD,27,,73,0,2074,231,717,0,0,136,193,0,0,252,0,0,0,171,598
lloydea01,Earl Lloyd,SMALL FORWARD,31,DETROIT PISTONS,68,0,1610,237,665,0,0,128,160,0,0,89,0,0,0,226,602
loscuji01,Jim Loscutoff,SMALL FORWARD,29,BOSTON CELTICS,28,0,536,66,205,0,0,22,36,0,0,12,0,0,0,108,154
lovelcl01,Clyde Lovellette,CENTER,30,,68,0,1953,550,1174,0,0,316,385,0,0,127,0,0,0,248,1416
mantini01,Nick Mantis,SHOOTING GUARD,24,,10,0,71,10,39,0,0,1,2,0,0,9,0,0,0,8,21
martisl01,Slater Martin,POINT GUARD,34,,64,0,1756,142,383,0,0,113,155,0,0,330,0,0,0,174,397
mccanbr01,Brendan McCann,POINT GUARD,24,NEW YORK KNICKS,4,0,29,1,10,0,0,3,3,0,0,10,0,0,0,2,5
mccarjo01,Johnny McCarthy,SHOOTING GUARD,25,,75,0,2383,240,730,0,0,149,226,0,0,328,0,0,0,233,629
mcguidi01,Dick McGuire,POINT GUARD,34,DETROIT PISTONS,68,0,1466,179,402,0,0,124,201,0,0,358,0,0,0,112,482
mcmahja01,Jack McMahon,POINT GUARD,31,,25,0,334,33,93,0,0,16,29,0,0,49,0,0,0,42,82
mcmilsh01,Shellie McMillon,SMALL FORWARD,23,DETROIT PISTONS,75,0,1416,267,627,0,0,132,199,0,0,49,0,0,0,198,666
naullwi01,Willie Naulls,SMALL FORWARD,25,NEW YORK KNICKS,65,0,2250,551,1286,0,0,286,342,0,0,138,0,0,0,214,1388
noblech01,Chuck Noble,SHOOTING GUARD,28,DETROIT PISTONS,58,0,1621,276,774,0,0,101,138,0,0,265,0,0,0,172,653
palazto01,Togo Palazzi,SMALL FORWARD,27,,7,0,70,13,41,0,0,4,8,0,0,3,0,0,0,7,30
palmeji01,Jim Palmer,CENTER,26,,20,0,400,71,155,0,0,39,55,0,0,17,0,0,0,65,181
palmeji01,Jim Palmer,CENTER,26,NEW YORK KNICKS,54,0,1082,175,419,0,0,80,119,0,0,53,0,0,0,159,430
parkme01,Med Park,SHOOTING GUARD,26,,74,0,1849,226,582,0,0,189,260,0,0,214,0,0,0,180,641
pettibo01,Bob Pettit,POWER FORWARD,27,,72,0,2896,669,1526,0,0,544,722,0,0,257,0,0,0,204,1882
piontda01,Dave Piontek,FORWARD-CENTER,25,,52,0,1111,217,531,0,0,84,122,0,0,84,0,0,0,143,518
piontda01,Dave Piontek,SMALL FORWARD,25,,25,0,722,75,197,0,0,45,80,0,0,34,0,0,0,68,195
ramseca01,Cal Ramsey,SMALL FORWARD,22,,4,0,35,7,19,0,0,3,4,0,0,0,0,0,0,4,17
ramseca01,Cal Ramsey,SMALL FORWARD,22,NEW YORK KNICKS,7,0,160,32,77,0,0,16,29,0,0,9,0,0,0,21,80
ramsefr01,Frank Ramsey,SHOOTING GUARD,28,BOSTON CELTICS,73,0,2009,422,1062,0,0,273,347,0,0,137,0,0,0,251,1117
rayji01,Jim Ray,GUARD,26,,4,0,21,1,6,0,0,0,0,0,0,2,0,0,0,3,2
reedhu01,Hub Reed,CENTER,23,,2,0,17,1,3,0,0,0,0,0,0,0,0,0,0,2,2
reedhu01,Hub Reed,POWER FORWARD,23,,69,0,1803,269,598,0,0,134,184,0,0,69,0,0,0,228,672
richtjo01,John Richter,CENTER,22,BOSTON CELTICS,66,0,808,113,332,0,0,59,117,0,0,27,0,0,0,158,285
rodgegu01,Guy Rodgers,POINT GUARD,24,,68,0,2483,338,870,0,0,111,181,0,0,482,0,0,0,196,787
rolliph01,Phil Rollins,POINT GUARD,26,,72,0,1235,158,386,0,0,77,127,0,0,233,0,0,0,150,393
ruklijo01,Joe Ruklick,POWER FORWARD,21,,39,0,384,85,214,0,0,26,36,0,0,24,0,0,0,70,196
russebi01,Bill Russell,CENTER,25,BOSTON CELTICS,74,0,3146,555,1189,0,0,240,392,0,0,277,0,0,0,210,1350
sauldwo01,Woody Sauldsberry,POWER FORWARD,25,,71,0,1848,325,974,0,0,55,103,0,0,112,0,0,0,203,705
schaydo01,Dolph Schayes,POWER FORWARD,31,,75,0,2741,578,1440,0,0,533,597,0,0,256,0,0,0,263,1689
searske01,Kenny Sears,POWER FORWARD,26,NEW YORK KNICKS,64,0,2099,412,863,0,0,363,418,0,0,127,0,0,0,191,1187
selvyfr01,Frank Selvy,SHOOTING GUARD,27,,19,0,217,36,94,0,0,31,48,0,0,30,0,0,0,25,103
selvyfr01,Frank Selvy,SHOOTING GUARD,27,,43,0,1091,169,427,0,0,122,160,0,0,81,0,0,0,76,460
seymopa01,Paul Seymour,GUARD-FORWARD,32,,4,0,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0
sharech01,Chuck Share,CENTER,32,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sharech01,Chuck Share,CENTER,32,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sharmbi01,Bill Sharman,SHOOTING GUARD,33,BOSTON CELTICS,71,0,1916,559,1225,0,0,252,291,0,0,144,0,0,0,154,1370
shuege01,Gene Shue,POINT GUARD,28,DETROIT PISTONS,75,0,3338,620,1501,0,0,472,541,0,0,295,0,0,0,146,1712
smithbo01,Bobby Smith,GUARD,22,,10,0,130,13,54,0,0,11,16,0,0,14,0,0,0,10,37
sobiero01,Ron Sobie,GUARD,25,NEW YORK KNICKS,15,0,221,36,104,0,0,31,36,0,0,19,0,0,0,28,103
sobiero01,Ron Sobie,POINT GUARD,25,,1,0,13,1,4,0,0,0,1,0,0,2,0,0,0,4,2
sparrgu01,Guy Sparrow,FORWARD,27,,11,0,80,14,45,0,0,2,8,0,0,6,0,0,0,20,30
stavela01,Larry Staverman,POWER FORWARD,23,,49,0,479,70,149,0,0,47,64,0,0,36,0,0,0,98,187
stevewa01,Wayne Stevens,FORWARD,23,,8,0,49,3,19,0,0,7,10,0,0,4,0,0,0,4,13
twymaja01,Jack Twyman,SMALL FORWARD,25,,75,0,3023,870,2063,0,0,598,762,0,0,260,0,0,0,275,2338
tyrach01,Charlie Tyra,CENTER,24,NEW YORK KNICKS,74,0,2033,406,952,0,0,133,189,0,0,80,0,0,0,258,945
wilfowi01,Win Wilfong,POINT GUARD,26,,72,0,1992,283,764,0,0,161,207,0,0,265,0,0,0,229,727
windito01,Tony Windis,POINT GUARD,27,DETROIT PISTONS,9,0,193,16,60,0,0,4,6,0,0,32,0,0,0,20,36
yardlge01,George Yardley,SMALL FORWARD,31,,73,0,2402,546,1205,0,0,381,467,0,0,122,0,0,0,227,1473
