name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Dirk Nowitzki,POWER FORWARD,82,82,3125,6.80832,14.365440000000001,1.7395200000000002,4.4928,5.19552,6.197760000000001,1.37088,7.315200000000001,1.99296,0.9100800000000001,1.16352,1.79712,2.8224,20.55168,22.8,0.601,0.313,0.431,4.4,22.1,13.5,9.4,1.3,2.3,9.5,23.8,10.3,4.3,14.6,0.22399999999999998,4.9,0.5,5.4,38.109756097560975
Jermaine O'Neal,CENTER,81,80,2641,5.507004922377887,11.831881862930707,0.0,0.0681560015145778,3.176069670579326,5.288905717531238,3.394168875425975,7.4290041650889815,1.335857629685725,0.6679288148428625,3.107913669064748,2.1946232487694055,3.816736084816357,14.1900795153351,17.5,0.501,0.006,0.447,11.0,22.7,17.0,6.7,1.0,6.2,13.4,21.2,1.7,4.7,6.4,0.11599999999999999,-0.8,1.0,0.3,32.60493827160494
Shaquille O'Neal,CENTER,74,74,2924,10.009575923392612,17.507523939808483,0.0,0.024623803009575923,6.143638850889193,11.967168262653898,3.582763337893297,7.990424076607387,3.4103967168262654,0.5786593707250342,2.511627906976744,2.6839945280437756,3.151846785225718,26.162790697674417,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,11.1,3.9,14.9,0.245,7.0,0.7,7.7,39.513513513513516
Charles Oakley,POWER FORWARD,78,77,2767,3.9681966028189373,10.226237802674376,0.14311528731478135,0.637513552584026,1.6523310444524755,1.9775930610769787,1.8474882544271773,7.793277918323094,3.4347668955547523,0.9887965305384894,0.6245030719190459,1.808456812432237,3.356704011564872,9.731839537405131,11.6,0.439,0.062,0.193,5.6,25.0,15.1,14.6,1.4,1.2,14.0,16.0,0.2,3.5,3.7,0.065,-2.2,0.8,-1.4,35.47435897435897
Lamar Odom,POWER FORWARD,76,74,2836,6.105782792665726,13.277856135401974,1.0155148095909732,3.2115655853314524,3.325811001410437,4.899858956276446,1.396332863187588,6.118476727785613,4.976022566995768,0.9393511988716502,1.548660084626234,3.3511988716502112,2.9957686882933707,16.552891396332864,18.9,0.536,0.242,0.369,4.6,18.9,11.9,25.0,1.4,3.0,17.8,24.1,3.2,3.3,6.5,0.111,2.9,1.1,4.0,37.31578947368421
Bo Outlaw,POWER FORWARD,80,69,2534,3.2107340173638517,5.228097868981847,0.014206787687450671,0.028413575374901343,1.8326756116811367,3.196527229676401,2.997632202052092,5.796369376479874,3.196527229676401,1.4917127071823204,1.9463299131807419,2.0031570639305447,3.423835832675612,8.268350434096291,15.7,0.623,0.005,0.611,9.0,18.3,13.6,13.3,2.1,4.0,23.2,10.6,3.9,4.0,7.9,0.15,0.4,2.6,3.1,31.675
Gary Payton,POINT GUARD,79,79,3244,8.045622688039456,17.655980271270035,1.1319358816276202,3.0184956843403206,3.0073982737361282,3.9284833538840935,0.8101109741060418,3.196054254007398,7.124537607891492,1.409371146732429,0.2885326757090012,2.319358816276202,2.041923551171393,20.23057953144266,22.1,0.522,0.171,0.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,9.1,1.7,10.8,0.16,4.7,-0.7,4.0,41.063291139240505
Paul Pierce,SMALL FORWARD,82,82,3120,7.926923076923077,17.45769230769231,1.6961538461538463,4.430769230769231,6.346153846153847,8.515384615384615,1.0846153846153848,4.938461538461539,2.9192307692307695,1.5923076923076924,0.7961538461538462,3.0230769230769234,2.8961538461538465,23.896153846153847,22.3,0.563,0.254,0.488,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,0.16,4.5,-0.1,4.4,38.048780487804876
Scottie Pippen,SMALL FORWARD,64,60,2133,4.540084388185654,10.059071729957806,1.080168776371308,3.1392405063291138,2.0084388185654007,2.7172995780590714,1.1814345991561181,4.438818565400844,4.962025316455696,1.5864978902953586,0.5907172995780591,2.5991561181434597,2.6666666666666665,12.168776371308017,15.3,0.541,0.312,0.27,4.1,14.2,9.3,21.8,2.4,1.2,18.8,17.9,2.4,2.7,5.1,0.115,1.0,1.2,2.2,33.328125
Theo Ratliff,CENTER,50,50,1800,4.5600000000000005,9.14,0.0,0.0,3.3000000000000003,4.34,2.5,5.76,1.16,0.6,3.74,2.52,3.3000000000000003,12.42,16.3,0.562,0.0,0.475,8.0,17.7,13.0,5.3,0.9,7.6,18.6,17.0,1.7,3.5,5.2,0.138,-1.1,2.7,1.6,36.0
Glen Rice,SMALL FORWARD,75,25,2212,5.386980108499096,12.23869801084991,1.3345388788426764,3.433996383363472,2.522603978300181,2.9620253164556964,0.9927667269439422,4.0036166365280295,1.4484629294755877,0.6672694394213382,0.2115732368896926,1.5623869801084993,2.913200723327306,14.63110307414105,13.7,0.54,0.281,0.242,3.4,13.0,8.4,7.4,1.0,0.5,10.3,20.5,2.7,2.9,5.7,0.12300000000000001,0.5,0.1,0.5,29.493333333333332
Mitch Richmond,SHOOTING GUARD,37,30,1216,6.06907894736842,14.921052631578947,1.332236842105263,3.9375,4.233552631578947,4.7368421052631575,0.444078947368421,2.7828947368421053,3.2861842105263155,1.2730263157894737,0.20723684210526314,2.486842105263158,2.5460526315789473,17.70394736842105,14.9,0.521,0.264,0.317,1.4,9.2,5.2,16.6,1.8,0.4,12.8,24.1,1.4,0.2,1.6,0.065,1.0,-1.2,-0.3,32.86486486486486
Clifford Robinson,POWER FORWARD,82,82,2751,6.556161395856052,15.520174482006542,1.1777535441657578,3.25845147219193,3.3107960741548528,4.67175572519084,1.3740458015267176,2.9967284623773174,3.1014176663031625,1.138495092693566,1.0730643402399127,2.4340239912758994,3.376226826608506,17.600872410032714,14.8,0.501,0.21,0.301,4.2,9.6,6.9,15.4,1.6,2.2,12.2,24.8,1.6,3.9,5.4,0.095,0.5,0.4,0.9,33.548780487804876
David Robinson,CENTER,80,80,2371,6.073386756642766,12.495993251792493,0.0,0.015183466891606916,5.329396878954028,7.136229439055251,3.1581611134542387,7.333614508646141,1.7612821594264023,1.2146773513285534,2.9911429776465623,1.8523829607760438,3.218894981020666,17.47617039223956,23.7,0.5589999999999999,0.001,0.5710000000000001,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,0.24600000000000002,2.5,2.7,5.2,29.6375
Glenn Robinson,SMALL FORWARD,76,74,2813,8.753643796658372,18.684678279416993,0.7038748666903661,2.3547813722004975,3.2122289370778527,3.916103803768219,1.5869178812655529,5.144685389264131,3.2250266619267687,1.1006043370067544,0.7934589406327764,2.802701741912549,2.444365446142908,21.423391397084963,20.1,0.525,0.126,0.21,5.0,16.1,10.6,16.5,1.6,1.6,12.1,29.2,4.2,2.5,6.7,0.114,2.3,-1.0,1.3,37.01315789473684
Jalen Rose,SMALL FORWARD,72,72,2943,6.935779816513762,15.192660550458715,0.7217125382262997,2.128440366972477,3.4862385321100917,4.207951070336391,0.4525993883792049,3.9388379204892967,5.321100917431193,0.7951070336391437,0.5259938837920489,2.581039755351682,2.8134556574923546,18.079510703363916,17.8,0.53,0.14,0.27699999999999997,1.5,12.0,6.9,28.7,1.2,1.0,13.2,25.5,4.8,2.5,7.3,0.11900000000000001,2.1,-0.4,1.8,40.875
Bryon Russell,SMALL FORWARD,78,46,2473,4.4836231298018605,10.1900525677315,1.3829357056207037,3.348160129397493,3.231702385766276,4.148807116862111,1.3683784876668015,3.435503437120906,2.329154872624343,1.3974929235746059,0.29114435907804287,1.6449656287909422,3.3336029114435908,13.5818843509907,14.1,0.565,0.32899999999999996,0.40700000000000003,4.8,11.6,8.3,10.4,2.1,0.7,12.0,17.5,4.5,2.3,6.8,0.133,1.1,0.2,1.3,31.705128205128204
Steve Smith,SHOOTING GUARD,81,36,2542,5.084185680566483,11.159716758457908,1.1046420141620772,3.2572777340676633,4.376081825334382,4.914240755310779,1.2321007081038553,2.6199842643587727,3.016522423288749,0.6797797010228167,0.33988985051140835,1.940204563335956,2.874901652242329,15.649095200629425,15.9,0.5870000000000001,0.292,0.44,4.2,8.4,6.4,13.6,1.0,0.7,12.7,19.7,6.6,1.6,8.2,0.155,1.5,-0.9,0.6,31.382716049382715
Eric Snow,POINT GUARD,50,50,1740,3.7655172413793103,9.0,0.10344827586206896,0.3931034482758621,2.524137931034483,3.1862068965517243,0.5586206896551724,2.875862068965517,7.634482758620689,1.5931034482758621,0.14482758620689656,2.56551724137931,2.5448275862068965,10.158620689655173,14.0,0.488,0.044000000000000004,0.354,1.8,8.8,5.4,33.9,2.3,0.3,19.8,16.3,1.5,2.3,3.8,0.105,-0.6,0.9,0.3,34.8
Latrell Sprewell,SMALL FORWARD,77,77,3017,6.252568776930726,14.545575074577396,0.48922770964534307,1.6108717268810078,3.2814053695724232,4.18826648989062,0.5846867749419954,3.5558501823002984,3.209811070599934,1.264832615180643,0.3341067285382831,2.6012595293337752,1.8972489227709646,16.27577063307922,15.1,0.49700000000000005,0.111,0.28800000000000003,2.0,11.6,7.0,17.2,1.9,0.8,13.7,25.8,0.5,4.6,5.1,0.08199999999999999,0.0,0.8,0.7,39.18181818181818
Jerry Stackhouse,SHOOTING GUARD,80,80,3215,8.66687402799378,21.57760497667185,1.8587869362363918,5.296423017107309,7.457542768273717,9.069984447900467,1.1085536547433903,2.418662519440124,4.590979782270606,1.086158631415241,0.604665629860031,3.6503888024883357,1.791601866251944,26.650077760497666,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.13699999999999998,5.8,-0.7,5.1,40.1875
Bryant Stith,SHOOTING GUARD,78,74,2504,3.522364217252396,8.784345047923322,1.3083067092651757,3.4792332268370605,2.515974440894569,2.976038338658147,0.9345047923322684,3.1485623003194885,2.415335463258786,1.3370607028753994,0.2012779552715655,1.293929712460064,2.6166134185303513,10.869009584664536,11.7,0.5379999999999999,0.396,0.33899999999999997,2.9,10.7,6.6,11.2,1.9,0.4,11.4,14.4,3.1,1.7,4.8,0.09300000000000001,-0.9,-0.2,-1.1,32.1025641025641
John Stockton,POINT GUARD,82,82,2397,4.926157697121401,9.777221526908635,0.916145181476846,1.9824780976220275,3.409261576971214,4.175219023779724,0.8110137672090112,2.598247809762203,10.708385481852314,1.9824780976220275,0.31539424280350437,3.048811013767209,2.913642052565707,14.177722152690864,22.3,0.61,0.203,0.42700000000000005,2.9,8.8,5.9,48.7,2.9,0.7,20.8,18.8,8.2,2.6,10.8,0.21600000000000003,5.5,1.2,6.7,29.23170731707317
Peja Stojaković,SMALL FORWARD,75,75,2905,6.927366609294321,14.734595524956971,1.7845094664371774,4.461273666092944,3.308777969018933,3.866437177280551,1.1524956970740103,4.225817555938038,2.032358003442341,1.127710843373494,0.1611015490533563,1.8092943201376936,1.7845094664371774,18.94802065404475,18.4,0.5760000000000001,0.303,0.262,3.5,12.3,8.0,9.6,1.6,0.3,9.9,22.4,6.8,3.3,10.1,0.168,2.8,-0.3,2.5,38.733333333333334
Damon Stoudamire,POINT GUARD,82,82,2655,5.505084745762712,12.677966101694915,1.111864406779661,2.9694915254237286,2.3322033898305086,2.806779661016949,0.9355932203389831,3.172881355932203,6.345762711864406,1.4372881355932203,0.10847457627118644,2.5898305084745763,2.7389830508474575,14.454237288135593,16.3,0.519,0.23399999999999999,0.221,3.2,10.2,6.8,29.1,2.1,0.2,15.7,21.3,4.1,2.5,6.7,0.121,1.1,-0.1,1.0,32.3780487804878
Rod Strickland,POINT GUARD,33,28,1020,4.976470588235294,11.68235294117647,0.1411764705882353,0.5647058823529412,4.0588235294117645,5.188235294117647,0.8823529411764706,2.8235294117647056,8.152941176470588,1.5176470588235293,0.1411764705882353,2.929411764705882,1.9411764705882353,14.152941176470588,17.4,0.507,0.048,0.444,2.8,9.4,6.0,38.9,2.2,0.3,17.3,20.9,1.5,0.3,1.8,0.084,2.3,-0.9,1.5,30.90909090909091
Bob Sura,SHOOTING GUARD,53,42,1684,4.318289786223278,11.073634204275534,1.004750593824228,3.676959619952494,2.885985748218527,4.040380047505938,1.1543942992874108,3.69833729216152,5.173396674584323,1.1543942992874108,0.171021377672209,3.4204275534441804,2.7149643705463182,12.52731591448931,11.2,0.48700000000000004,0.332,0.365,3.1,11.9,7.1,23.1,1.6,0.3,21.0,19.1,-0.3,0.4,0.1,0.003,-2.0,-1.3,-3.3,31.77358490566038
Wally Szczerbiak,SMALL FORWARD,82,82,2856,5.911764705882353,11.596638655462185,0.3277310924369748,0.9705882352941176,2.2815126050420167,2.6218487394957983,1.6764705882352942,3.957983193277311,3.277310924369748,0.7436974789915967,0.41596638655462187,1.7394957983193278,2.8487394957983194,14.432773109243698,15.8,0.5660000000000001,0.084,0.226,5.3,12.7,8.9,14.5,1.1,0.8,12.0,18.2,5.7,1.7,7.4,0.125,1.2,-0.8,0.4,34.829268292682926
Maurice Taylor,SMALL FORWARD,69,69,1972,7.119675456389452,14.549695740365111,0.0,0.07302231237322515,2.1724137931034484,2.9574036511156185,1.9898580121703853,4.910750507099391,1.898580121703854,0.511156186612576,0.6937119675456389,2.281947261663286,3.797160243407708,16.41176470588235,14.9,0.518,0.005,0.203,6.6,15.4,11.1,9.7,0.8,1.3,12.6,23.2,1.8,1.4,3.2,0.077,-0.9,-1.0,-1.9,28.579710144927535
Jason Terry,SHOOTING GUARD,82,77,3089,6.945937196503723,15.931369375202332,1.44512787309809,3.6594367109096795,3.5312398834574297,4.172224020718679,0.48947879572677244,2.645516348332794,4.696665587568793,1.2120427322758174,0.13985108449336356,2.7853674328261575,2.3774684363871805,18.868242149562967,17.3,0.531,0.23,0.262,1.5,8.2,4.9,24.3,1.8,0.3,13.6,25.5,4.9,1.6,6.5,0.1,2.3,-1.0,1.3,37.670731707317074
Nick Van Exel,POINT GUARD,71,70,2688,6.160714285714286,14.892857142857142,1.8080357142857142,4.794642857142857,2.732142857142857,3.3348214285714284,0.5892857142857143,2.638392857142857,8.035714285714285,0.8169642857142857,0.24107142857142855,2.2098214285714284,1.4598214285714284,16.861607142857142,18.5,0.515,0.322,0.22399999999999998,1.8,8.1,4.9,38.4,1.2,0.5,11.9,23.0,6.1,0.3,6.4,0.114,4.0,-2.0,1.9,37.859154929577464
Keith Van Horn,SMALL FORWARD,49,47,1733,6.3981534910559725,14.707443739180613,1.350259665320254,3.531448355452972,3.11598384304674,3.8638199653779575,1.6203115983843048,5.58799769186382,1.7034045008655512,0.830929024812464,0.415464512406232,2.139642238892095,3.11598384304674,17.26255049047894,15.5,0.526,0.24,0.263,5.0,18.3,11.5,9.0,1.2,0.9,11.5,23.4,1.7,1.2,2.8,0.079,0.8,-1.9,-1.1,35.36734693877551
Antoine Walker,POWER FORWARD,81,81,3396,7.5371024734982335,18.233215547703182,2.3427561837455833,6.392226148409894,2.639575971731449,3.68904593639576,1.6007067137809188,6.021201413427562,4.7173144876325095,1.462897526501767,0.519434628975265,3.1908127208480566,2.660777385159011,20.0565371024735,18.9,0.505,0.35100000000000003,0.20199999999999999,5.0,20.4,12.3,26.8,2.1,1.1,13.8,29.1,2.7,3.8,6.6,0.09300000000000001,3.5,-0.5,3.0,41.925925925925924
Ben Wallace,CENTER,80,80,2760,2.8043478260869565,5.726086956521739,0.013043478260869565,0.05217391304347826,1.0434782608695652,3.1043478260869564,3.952173913043478,9.769565217391303,1.6043478260869564,1.3956521739130434,2.426086956521739,1.526086956521739,2.5043478260869563,6.665217391304347,14.8,0.47,0.009000000000000001,0.542,11.5,29.6,20.4,6.8,2.0,4.8,17.7,10.4,1.0,6.0,7.0,0.121,-0.6,2.5,1.9,34.5
Rasheed Wallace,POWER FORWARD,77,75,2940,7.224489795918367,14.424489795918367,0.636734693877551,1.983673469387755,3.0,3.9183673469387754,1.7999999999999998,5.571428571428571,2.595918367346939,1.1020408163265305,1.6530612244897958,1.9346938775510203,2.522448979591837,18.085714285714285,20.9,0.56,0.138,0.272,6.2,17.9,12.2,12.9,1.6,3.4,10.7,23.4,6.8,4.2,11.0,0.18,3.3,1.1,4.4,38.18181818181818
Clarence Weatherspoon,POWER FORWARD,82,82,2774,4.503244412400865,8.980533525594808,0.0,0.0,2.9848594087959626,3.7764960346070655,2.8940158615717375,7.436193222782984,1.3366979091564528,1.1031002162941599,1.362653208363374,1.453496755587599,2.219178082191781,11.991348233597693,17.4,0.563,0.0,0.42100000000000004,9.3,23.9,16.6,6.2,1.6,2.8,12.0,15.2,5.2,3.4,8.6,0.14800000000000002,1.3,0.2,1.4,33.829268292682926
Chris Webber,POWER FORWARD,70,70,2836,9.977433004231312,20.754583921015513,0.02538787023977433,0.3554301833568406,4.112834978843441,5.851904090267983,2.2722143864598023,7.590973201692524,3.7320169252468265,1.1805359661495063,1.4978843441466854,2.475317348377997,2.8688293370944993,24.093088857545837,24.7,0.516,0.017,0.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,5.8,5.2,11.0,0.18600000000000003,4.0,1.4,5.5,40.51428571428571
David Wesley,SHOOTING GUARD,82,82,3106,6.061815840309079,14.360592401802961,1.124275595621378,2.990341274951706,3.1410173857050867,3.9291693496458464,0.7417900837089504,1.854475209272376,4.184159690920798,1.4835801674179008,0.1854475209272376,1.9819703799098518,2.549903412749517,16.38892466194462,15.3,0.509,0.20800000000000002,0.27399999999999997,2.4,5.9,4.1,21.7,2.2,0.4,11.0,23.1,4.2,3.4,7.6,0.11699999999999999,0.4,0.0,0.4,37.8780487804878
Alvin Williams,SHOOTING GUARD,82,34,2394,4.962406015037594,11.533834586466165,0.49624060150375937,1.6240601503759398,1.6390977443609023,2.180451127819549,0.7518796992481203,2.43609022556391,6.120300751879699,1.8496240601503757,0.39097744360902253,1.5488721804511276,2.571428571428571,12.060150375939848,15.2,0.483,0.141,0.18899999999999997,2.3,7.8,5.0,27.2,2.7,0.8,11.0,17.4,3.3,2.1,5.4,0.109,-0.1,0.9,0.8,29.195121951219512
Jason Williams,POINT GUARD,77,77,2290,4.417467248908297,10.847161572052402,1.5406113537117905,4.889082969432315,0.9432314410480349,1.194759825327511,0.2986899563318777,2.6096069868995633,6.539737991266376,1.4777292576419214,0.14148471615720526,2.51528384279476,1.7921397379912665,11.318777292576419,12.8,0.498,0.451,0.11,0.9,7.6,4.4,27.6,2.1,0.3,18.1,17.0,1.3,2.4,3.8,0.079,-0.4,-0.2,-0.6,29.74025974025974
Corliss Williamson,SMALL FORWARD,27,9,800,7.739999999999999,14.49,0.0,0.0,3.0149999999999997,4.8149999999999995,2.385,5.175,1.26,1.575,0.36,2.025,3.915,18.495,12.1,0.51,0.006,0.4,7.1,12.5,9.7,6.3,0.9,1.0,14.5,22.6,0.3,0.6,0.8,0.045,-2.2,-1.5,-3.7,29.62962962962963
Metta World Peace,SMALL FORWARD,76,74,2363,4.9818027930596696,12.416419805332204,0.6550994498518832,2.2547608971646214,3.199322894625476,4.265763859500635,0.8988573846804908,3.5801946677951753,3.4735505713076598,2.315700380871773,0.6855691917054592,2.422344477359289,3.869657215404147,13.818027930596699,13.6,0.483,0.182,0.344,2.9,12.3,7.4,17.6,3.5,1.4,14.5,21.6,-0.1,2.0,1.9,0.039,-1.9,0.5,-1.3,31.092105263157894
