name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Christian Laettner,POWER FORWARD,25,13,733,112,228,3,10,103,122,43,110,57,31,19,67,83,330,25,733,17.6,0.586,0.044000000000000004,0.535,6.7,17.9,12.2,13.7,2.2,1.9,19.2,21.2,1.2,0.5,1.7,0.11199999999999999,0.6,-0.1,0.4,29.32
Raef LaFrentz,CENTER,78,74,2457,387,812,51,139,183,262,173,434,107,37,206,97,290,1008,78,2457,17.6,0.544,0.171,0.32299999999999995,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,4.3,2.5,6.8,0.132,0.1,0.7,0.8,31.5
Voshon Lenard,SHOOTING GUARD,80,58,2331,336,846,147,382,153,192,47,184,190,65,18,102,170,972,80,2331,13.2,0.522,0.452,0.22699999999999998,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,2.9,0.6,3.5,0.07200000000000001,0.2,-1.1,-0.8,29.1375
Rashard Lewis,POWER FORWARD,78,78,2720,426,887,123,285,176,213,143,398,125,91,45,129,191,1151,78,2720,17.3,0.5870000000000001,0.321,0.24,6.1,16.7,11.4,7.6,1.8,1.2,11.6,18.4,5.9,2.1,8.0,0.142,2.4,-0.4,2.1,34.87179487179487
George Lynch,SMALL FORWARD,82,80,2649,274,616,15,57,123,171,200,390,139,99,30,109,222,686,82,2649,12.4,0.496,0.09300000000000001,0.278,8.7,16.3,12.6,8.4,2.0,0.8,13.6,13.7,2.3,4.2,6.5,0.11800000000000001,-0.8,1.3,0.5,32.30487804878049
Karl Malone,POWER FORWARD,81,81,2895,670,1345,2,5,536,676,114,555,361,93,62,244,216,1878,81,2895,24.7,0.5720000000000001,0.004,0.503,5.0,23.3,14.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,0.217,5.5,1.1,6.6,35.74074074074074
Stephon Marbury,POINT GUARD,67,67,2557,563,1277,110,335,362,458,53,152,506,79,5,197,150,1598,67,2557,22.7,0.54,0.262,0.359,2.3,7.0,4.6,40.8,1.6,0.1,11.8,29.7,7.2,0.7,7.8,0.147,5.9,-1.6,4.3,38.16417910447761
Shawn Marion,SMALL FORWARD,79,79,2857,557,1160,21,82,234,289,220,628,160,132,108,129,211,1369,79,2857,21.0,0.532,0.071,0.249,8.6,25.4,16.8,10.2,2.4,2.7,9.1,22.1,5.3,6.4,11.7,0.196,2.3,1.8,4.1,36.164556962025316
Donyell Marshall,SMALL FORWARD,81,49,2326,427,849,41,128,205,273,172,394,133,85,78,128,196,1100,81,2326,19.9,0.568,0.151,0.322,9.4,20.6,15.1,10.1,2.0,2.7,11.7,21.7,5.1,3.3,8.5,0.174,3.2,0.6,3.7,28.71604938271605
Kenyon Martin,POWER FORWARD,68,68,2272,346,777,1,11,121,192,137,365,131,78,113,138,281,814,68,2272,13.4,0.47200000000000003,0.013999999999999999,0.247,6.7,19.0,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044000000000000004,-2.1,0.4,-1.7,33.411764705882355
Jamal Mashburn,SMALL FORWARD,76,76,2989,573,1388,103,289,279,364,92,484,411,85,13,211,185,1528,76,2989,17.5,0.493,0.20800000000000002,0.262,3.5,18.4,11.0,26.8,1.5,0.3,12.0,27.1,3.1,4.2,7.3,0.11800000000000001,2.1,0.0,2.1,39.328947368421055
Anthony Mason,POWER FORWARD,80,80,3254,460,954,0,0,370,474,169,601,248,80,25,179,231,1290,80,3254,17.4,0.555,0.0,0.49700000000000005,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,0.171,0.8,1.1,1.9,40.675
Antonio McDyess,POWER FORWARD,70,70,2555,577,1165,0,0,304,434,240,605,146,43,102,162,220,1458,70,2555,22.0,0.5379999999999999,0.0,0.373,10.1,26.1,18.0,10.8,0.9,2.7,10.7,26.5,5.2,2.6,7.8,0.146,2.5,-0.8,1.7,36.5
Tracy McGrady,SHOOTING GUARD,77,77,3087,788,1724,59,166,430,587,192,388,352,116,118,198,160,2065,77,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.18899999999999997,6.5,0.5,7.0,40.09090909090909
Jeff McInnis,POINT GUARD,81,81,2831,432,933,52,144,130,161,41,179,447,75,7,113,199,1046,81,2831,15.6,0.521,0.154,0.17300000000000001,1.7,7.0,4.4,27.7,1.4,0.2,10.1,18.2,5.8,1.1,6.9,0.11699999999999999,0.6,-0.9,-0.3,34.95061728395062
Aaron McKie,SHOOTING GUARD,76,33,2394,338,714,53,170,149,194,33,278,377,106,8,203,178,878,76,2394,15.1,0.5489999999999999,0.23800000000000002,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.11800000000000001,0.1,1.3,1.4,31.5
Ron Mercer,SHOOTING GUARD,61,61,2535,500,1121,14,46,188,228,72,164,201,78,27,129,148,1202,61,2535,14.8,0.49200000000000005,0.040999999999999995,0.203,3.2,8.0,5.5,16.2,1.7,0.8,9.6,24.8,1.5,0.4,1.8,0.035,0.3,-2.2,-1.9,41.557377049180324
Andre Miller,POINT GUARD,82,82,2848,452,999,17,64,375,450,94,266,657,119,28,265,229,1296,82,2848,20.1,0.541,0.064,0.45,3.8,10.8,7.3,40.5,2.2,0.7,18.1,23.2,6.1,1.9,8.0,0.136,3.0,-0.2,2.8,34.73170731707317
Mike Miller,SMALL FORWARD,82,62,2390,368,845,148,364,91,128,66,261,140,51,19,97,200,975,82,2390,13.2,0.541,0.431,0.151,3.0,12.4,7.6,9.7,1.1,0.6,9.7,18.5,3.3,1.9,5.3,0.106,0.7,-0.9,-0.2,29.146341463414632
Reggie Miller,SHOOTING GUARD,81,81,3181,517,1176,170,464,323,348,38,247,260,81,15,133,162,1527,81,3181,17.3,0.574,0.395,0.29600000000000004,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,39.27160493827161
Chris Mills,SMALL FORWARD,15,8,493,71,191,7,25,31,36,24,69,18,9,5,20,43,180,15,493,9.6,0.435,0.131,0.188,4.8,16.2,10.0,6.1,0.9,0.7,8.8,19.4,0.0,0.1,0.1,0.006999999999999999,-2.8,-1.6,-4.4,32.86666666666667
Cuttino Mobley,SHOOTING GUARD,79,49,3002,527,1214,90,252,394,474,83,314,195,84,26,165,169,1538,79,3002,17.7,0.541,0.20800000000000002,0.39,3.3,11.8,7.7,11.5,1.5,0.6,10.4,24.3,6.2,2.0,8.2,0.13,1.7,-0.8,0.9,38.0
Lamond Murray,SMALL FORWARD,78,46,2225,391,925,61,165,155,211,104,236,124,83,27,141,173,998,78,2225,13.9,0.49,0.17800000000000002,0.228,5.4,12.3,8.9,10.1,2.0,0.9,12.2,23.5,0.8,1.5,2.3,0.05,-0.1,-1.0,-1.1,28.525641025641026
Dikembe Mutombo,CENTER,49,49,1716,169,354,0,0,107,154,188,505,54,20,137,92,139,445,49,1716,16.5,0.528,0.0,0.435,12.1,33.0,22.5,5.0,0.6,5.7,17.9,13.4,1.5,3.0,4.5,0.125,-0.1,1.4,1.4,35.02040816326531
Dikembe Mutombo,CENTER,49,49,1716,169,354,0,0,107,154,188,505,54,20,137,92,139,445,26,875,19.6,0.58,0.0,0.6779999999999999,15.7,25.7,20.8,4.1,0.5,5.5,16.5,16.2,1.9,1.8,3.7,0.201,1.3,1.0,2.3,35.02040816326531
Dikembe Mutombo,CENTER,26,26,875,100,202,0,0,104,137,119,203,22,9,66,52,65,304,49,1716,16.5,0.528,0.0,0.435,12.1,33.0,22.5,5.0,0.6,5.7,17.9,13.4,1.5,3.0,4.5,0.125,-0.1,1.4,1.4,33.65384615384615
Dikembe Mutombo,CENTER,26,26,875,100,202,0,0,104,137,119,203,22,9,66,52,65,304,26,875,19.6,0.58,0.0,0.6779999999999999,15.7,25.7,20.8,4.1,0.5,5.5,16.5,16.2,1.9,1.8,3.7,0.201,1.3,1.0,2.3,33.65384615384615
Steve Nash,POINT GUARD,70,70,2387,386,792,89,219,231,258,46,177,509,72,5,205,158,1092,70,2387,19.6,0.603,0.27699999999999997,0.326,2.2,8.1,5.2,34.6,1.6,0.1,18.5,21.1,6.8,1.6,8.4,0.16899999999999998,3.8,-1.1,2.8,34.1
Dirk Nowitzki,POWER FORWARD,82,82,3125,591,1247,151,390,451,538,119,635,173,79,101,156,245,1784,82,3125,22.8,0.601,0.313,0.431,4.4,22.1,13.5,9.4,1.3,2.3,9.5,23.8,10.3,4.3,14.6,0.22399999999999998,4.9,0.5,5.4,38.109756097560975
Jermaine O'Neal,CENTER,81,80,2641,404,868,0,5,233,388,249,545,98,49,228,161,280,1041,81,2641,17.5,0.501,0.006,0.447,11.0,22.7,17.0,6.7,1.0,6.2,13.4,21.2,1.7,4.7,6.4,0.11599999999999999,-0.8,1.0,0.3,32.60493827160494
Shaquille O'Neal,CENTER,74,74,2924,813,1422,0,2,499,972,291,649,277,47,204,218,256,2125,74,2924,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,11.1,3.9,14.9,0.245,7.0,0.7,7.7,39.513513513513516
Charles Oakley,POWER FORWARD,78,77,2767,305,786,11,49,127,152,142,599,264,76,48,139,258,748,78,2767,11.6,0.439,0.062,0.193,5.6,25.0,15.1,14.6,1.4,1.2,14.0,16.0,0.2,3.5,3.7,0.065,-2.2,0.8,-1.4,35.47435897435897
Lamar Odom,POWER FORWARD,76,74,2836,481,1046,80,253,262,386,110,482,392,74,122,264,236,1304,76,2836,18.9,0.536,0.242,0.369,4.6,18.9,11.9,25.0,1.4,3.0,17.8,24.1,3.2,3.3,6.5,0.111,2.9,1.1,4.0,37.31578947368421
Bo Outlaw,POWER FORWARD,80,69,2534,226,368,1,2,129,225,211,408,225,105,137,141,241,582,80,2534,15.7,0.623,0.005,0.611,9.0,18.3,13.6,13.3,2.1,4.0,23.2,10.6,3.9,4.0,7.9,0.15,0.4,2.6,3.1,31.675
Gary Payton,POINT GUARD,79,79,3244,725,1591,102,272,271,354,73,288,642,127,26,209,184,1823,79,3244,22.1,0.522,0.171,0.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,9.1,1.7,10.8,0.16,4.7,-0.7,4.0,41.063291139240505
Paul Pierce,SMALL FORWARD,82,82,3120,687,1513,147,384,550,738,94,428,253,138,69,262,251,2071,82,3120,22.3,0.563,0.254,0.488,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,0.16,4.5,-0.1,4.4,38.048780487804876
Scottie Pippen,SMALL FORWARD,64,60,2133,269,596,64,186,119,161,70,263,294,94,35,154,158,721,64,2133,15.3,0.541,0.312,0.27,4.1,14.2,9.3,21.8,2.4,1.2,18.8,17.9,2.4,2.7,5.1,0.115,1.0,1.2,2.2,33.328125
Theo Ratliff,CENTER,50,50,1800,228,457,0,0,165,217,125,288,58,30,187,126,165,621,50,1800,16.3,0.562,0.0,0.475,8.0,17.7,13.0,5.3,0.9,7.6,18.6,17.0,1.7,3.5,5.2,0.138,-1.1,2.7,1.6,36.0
Glen Rice,SMALL FORWARD,75,25,2212,331,752,82,211,155,182,61,246,89,41,13,96,179,899,75,2212,13.7,0.54,0.281,0.242,3.4,13.0,8.4,7.4,1.0,0.5,10.3,20.5,2.7,2.9,5.7,0.12300000000000001,0.5,0.1,0.5,29.493333333333332
Mitch Richmond,SHOOTING GUARD,37,30,1216,205,504,45,133,143,160,15,94,111,43,7,84,86,598,37,1216,14.9,0.521,0.264,0.317,1.4,9.2,5.2,16.6,1.8,0.4,12.8,24.1,1.4,0.2,1.6,0.065,1.0,-1.2,-0.3,32.86486486486486
Clifford Robinson,POWER FORWARD,82,82,2751,501,1186,90,249,253,357,105,229,237,87,82,186,258,1345,82,2751,14.8,0.501,0.21,0.301,4.2,9.6,6.9,15.4,1.6,2.2,12.2,24.8,1.6,3.9,5.4,0.095,0.5,0.4,0.9,33.548780487804876
David Robinson,CENTER,80,80,2371,400,823,0,1,351,470,208,483,116,80,197,122,212,1151,80,2371,23.7,0.5589999999999999,0.001,0.5710000000000001,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,0.24600000000000002,2.5,2.7,5.2,29.6375
Glenn Robinson,SMALL FORWARD,76,74,2813,684,1460,55,184,251,306,124,402,252,86,62,219,191,1674,76,2813,20.1,0.525,0.126,0.21,5.0,16.1,10.6,16.5,1.6,1.6,12.1,29.2,4.2,2.5,6.7,0.114,2.3,-1.0,1.3,37.01315789473684
Jalen Rose,SMALL FORWARD,72,72,2943,567,1242,59,174,285,344,37,322,435,65,43,211,230,1478,72,2943,17.8,0.53,0.14,0.27699999999999997,1.5,12.0,6.9,28.7,1.2,1.0,13.2,25.5,4.8,2.5,7.3,0.11900000000000001,2.1,-0.4,1.8,40.875
Bryon Russell,SMALL FORWARD,78,46,2473,308,700,95,230,222,285,94,236,160,96,20,113,229,933,78,2473,14.1,0.565,0.32899999999999996,0.40700000000000003,4.8,11.6,8.3,10.4,2.1,0.7,12.0,17.5,4.5,2.3,6.8,0.133,1.1,0.2,1.3,31.705128205128204
Steve Smith,SHOOTING GUARD,81,36,2542,359,788,78,230,309,347,87,185,213,48,24,137,203,1105,81,2542,15.9,0.5870000000000001,0.292,0.44,4.2,8.4,6.4,13.6,1.0,0.7,12.7,19.7,6.6,1.6,8.2,0.155,1.5,-0.9,0.6,31.382716049382715
Eric Snow,POINT GUARD,50,50,1740,182,435,5,19,122,154,27,139,369,77,7,124,123,491,50,1740,14.0,0.488,0.044000000000000004,0.354,1.8,8.8,5.4,33.9,2.3,0.3,19.8,16.3,1.5,2.3,3.8,0.105,-0.6,0.9,0.3,34.8
Latrell Sprewell,SMALL FORWARD,77,77,3017,524,1219,41,135,275,351,49,298,269,106,28,218,159,1364,77,3017,15.1,0.49700000000000005,0.111,0.28800000000000003,2.0,11.6,7.0,17.2,1.9,0.8,13.7,25.8,0.5,4.6,5.1,0.08199999999999999,0.0,0.8,0.7,39.18181818181818
Jerry Stackhouse,SHOOTING GUARD,80,80,3215,774,1927,166,473,666,810,99,216,410,97,54,326,160,2380,80,3215,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.13699999999999998,5.8,-0.7,5.1,40.1875
Bryant Stith,SHOOTING GUARD,78,74,2504,245,611,91,242,175,207,65,219,168,93,14,90,182,756,78,2504,11.7,0.5379999999999999,0.396,0.33899999999999997,2.9,10.7,6.6,11.2,1.9,0.4,11.4,14.4,3.1,1.7,4.8,0.09300000000000001,-0.9,-0.2,-1.1,32.1025641025641
John Stockton,POINT GUARD,82,82,2397,328,651,61,132,227,278,54,173,713,132,21,203,194,944,82,2397,22.3,0.61,0.203,0.42700000000000005,2.9,8.8,5.9,48.7,2.9,0.7,20.8,18.8,8.2,2.6,10.8,0.21600000000000003,5.5,1.2,6.7,29.23170731707317
Peja Stojaković,SMALL FORWARD,75,75,2905,559,1189,144,360,267,312,93,341,164,91,13,146,144,1529,75,2905,18.4,0.5760000000000001,0.303,0.262,3.5,12.3,8.0,9.6,1.6,0.3,9.9,22.4,6.8,3.3,10.1,0.168,2.8,-0.3,2.5,38.733333333333334
Damon Stoudamire,POINT GUARD,82,82,2655,406,935,82,219,172,207,69,234,468,106,8,191,202,1066,82,2655,16.3,0.519,0.23399999999999999,0.221,3.2,10.2,6.8,29.1,2.1,0.2,15.7,21.3,4.1,2.5,6.7,0.121,1.1,-0.1,1.0,32.3780487804878
Rod Strickland,POINT GUARD,33,28,1020,141,331,4,16,115,147,25,80,231,43,4,83,55,401,33,1020,17.4,0.507,0.048,0.444,2.8,9.4,6.0,38.9,2.2,0.3,17.3,20.9,1.5,0.3,1.8,0.084,2.3,-0.9,1.5,30.90909090909091
Rod Strickland,POINT GUARD,33,28,1020,141,331,4,16,115,147,25,80,231,43,4,83,55,401,21,351,12.2,0.44299999999999995,0.01,0.265,3.9,7.9,6.0,31.9,1.5,0.2,18.0,17.7,0.1,0.2,0.4,0.053,-0.8,-1.1,-1.8,30.90909090909091
Bob Sura,SHOOTING GUARD,53,42,1684,202,518,47,172,135,189,54,173,242,54,8,160,127,586,53,1684,11.2,0.48700000000000004,0.332,0.365,3.1,11.9,7.1,23.1,1.6,0.3,21.0,19.1,-0.3,0.4,0.1,0.003,-2.0,-1.3,-3.3,31.77358490566038
Wally Szczerbiak,SMALL FORWARD,82,82,2856,469,920,26,77,181,208,133,314,260,59,33,138,226,1145,82,2856,15.8,0.5660000000000001,0.084,0.226,5.3,12.7,8.9,14.5,1.1,0.8,12.0,18.2,5.7,1.7,7.4,0.125,1.2,-0.8,0.4,34.829268292682926
Maurice Taylor,SMALL FORWARD,69,69,1972,390,797,0,4,119,162,109,269,104,28,38,125,208,899,69,1972,14.9,0.518,0.005,0.203,6.6,15.4,11.1,9.7,0.8,1.3,12.6,23.2,1.8,1.4,3.2,0.077,-0.9,-1.0,-1.9,28.579710144927535
Jason Terry,SHOOTING GUARD,82,77,3089,596,1367,124,314,303,358,42,227,403,104,12,239,204,1619,82,3089,17.3,0.531,0.23,0.262,1.5,8.2,4.9,24.3,1.8,0.3,13.6,25.5,4.9,1.6,6.5,0.1,2.3,-1.0,1.3,37.670731707317074
Nick Van Exel,POINT GUARD,71,70,2688,460,1112,135,358,204,249,44,197,600,61,18,165,109,1259,71,2688,18.5,0.515,0.322,0.22399999999999998,1.8,8.1,4.9,38.4,1.2,0.5,11.9,23.0,6.1,0.3,6.4,0.114,4.0,-2.0,1.9,37.859154929577464
Keith Van Horn,SMALL FORWARD,49,47,1733,308,708,65,170,150,186,78,269,82,40,20,103,150,831,49,1733,15.5,0.526,0.24,0.263,5.0,18.3,11.5,9.0,1.2,0.9,11.5,23.4,1.7,1.2,2.8,0.079,0.8,-1.9,-1.1,35.36734693877551
Antoine Walker,POWER FORWARD,81,81,3396,711,1720,221,603,249,348,151,568,445,138,49,301,251,1892,81,3396,18.9,0.505,0.35100000000000003,0.20199999999999999,5.0,20.4,12.3,26.8,2.1,1.1,13.8,29.1,2.7,3.8,6.6,0.09300000000000001,3.5,-0.5,3.0,41.925925925925924
Ben Wallace,CENTER,80,80,2760,215,439,1,4,80,238,303,749,123,107,186,117,192,511,80,2760,14.8,0.47,0.009000000000000001,0.542,11.5,29.6,20.4,6.8,2.0,4.8,17.7,10.4,1.0,6.0,7.0,0.121,-0.6,2.5,1.9,34.5
Rasheed Wallace,POWER FORWARD,77,75,2940,590,1178,52,162,245,320,147,455,212,90,135,158,206,1477,77,2940,20.9,0.56,0.138,0.272,6.2,17.9,12.2,12.9,1.6,3.4,10.7,23.4,6.8,4.2,11.0,0.18,3.3,1.1,4.4,38.18181818181818
Clarence Weatherspoon,POWER FORWARD,82,82,2774,347,692,0,0,230,291,223,573,103,85,105,112,171,924,82,2774,17.4,0.563,0.0,0.42100000000000004,9.3,23.9,16.6,6.2,1.6,2.8,12.0,15.2,5.2,3.4,8.6,0.14800000000000002,1.3,0.2,1.4,33.829268292682926
Chris Webber,POWER FORWARD,70,70,2836,786,1635,2,28,324,461,179,598,294,93,118,195,226,1898,70,2836,24.7,0.516,0.017,0.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,5.8,5.2,11.0,0.18600000000000003,4.0,1.4,5.5,40.51428571428571
David Wesley,SHOOTING GUARD,82,82,3106,523,1239,97,258,271,339,64,160,361,128,16,171,220,1414,82,3106,15.3,0.509,0.20800000000000002,0.27399999999999997,2.4,5.9,4.1,21.7,2.2,0.4,11.0,23.1,4.2,3.4,7.6,0.11699999999999999,0.4,0.0,0.4,37.8780487804878
Alvin Williams,SHOOTING GUARD,82,34,2394,330,767,33,108,109,145,50,162,407,123,26,103,171,802,82,2394,15.2,0.483,0.141,0.18899999999999997,2.3,7.8,5.0,27.2,2.7,0.8,11.0,17.4,3.3,2.1,5.4,0.109,-0.1,0.9,0.8,29.195121951219512
Jason Williams,POINT GUARD,77,77,2290,281,690,98,311,60,76,19,166,416,94,9,160,114,720,77,2290,12.8,0.498,0.451,0.11,0.9,7.6,4.4,27.6,2.1,0.3,18.1,17.0,1.3,2.4,3.8,0.079,-0.4,-0.2,-0.6,29.74025974025974
Corliss Williamson,SMALL FORWARD,27,9,800,172,322,0,0,67,107,53,115,28,35,8,45,87,411,42,886,12.1,0.51,0.006,0.4,7.1,12.5,9.7,6.3,0.9,1.0,14.5,22.6,0.3,0.6,0.8,0.045,-2.2,-1.5,-3.7,29.62962962962963
Corliss Williamson,SMALL FORWARD,27,9,800,172,322,0,0,67,107,53,115,28,35,8,45,87,411,27,800,18.4,0.557,0.0,0.332,7.0,15.7,11.2,6.7,2.2,0.7,10.9,22.4,1.3,1.1,2.4,0.14400000000000002,0.6,1.1,1.7,29.62962962962963
Metta World Peace,SMALL FORWARD,76,74,2363,327,815,43,148,210,280,59,235,228,152,45,159,254,907,76,2363,13.6,0.483,0.182,0.344,2.9,12.3,7.4,17.6,3.5,1.4,14.5,21.6,-0.1,2.0,1.9,0.039,-1.9,0.5,-1.3,31.092105263157894
